customer_id,age,gender,country,account_type,account_balance,credit_score,join_date
1,21,Female,Malaysia,Current,3365.7,671,2022-01-03
2,75,Female,Indonesia,Savings,47878.37,514,2018-11-01
3,51,Female,Yemen,Savings,38483.48,761,2024-06-30
4,29,Male,UAE,Savings,30176.33,304,2024-01-07
5,27,Female,Malaysia,Savings,22681.96,497,2025-01-29
6,50,Male,Indonesia,Current,31373.33,825,2021-09-03
7,56,Male,Indonesia,Savings,27572.52,627,2021-03-02
8,36,Female,Yemen,Current,22676.26,563,2020-04-03
9,33,Female,UAE,Savings,41759.64,360,2024-09-02
10,50,Male,Indonesia,Savings,25932.1,466,2021-04-26
11,58,Male,Yemen,Current,2175.27,335,2017-12-17
12,59,Male,UAE,Current,32576.72,647,2022-10-08
13,73,Female,Yemen,Savings,24642.38,821,2023-09-06
14,53,Male,Malaysia,Current,6584.76,434,2025-10-02
15,73,Male,Malaysia,Savings,10444.31,580,2023-11-17
16,42,Male,UAE,Savings,13835.27,706,2025-11-25
17,64,Male,Malaysia,Savings,13212.09,420,2024-05-19
18,54,Male,Malaysia,Current,44507.73,446,2024-08-28
19,42,Female,UAE,Current,24599.0,336,2024-10-07
20,55,Female,Indonesia,Savings,29301.3,303,2016-06-13
21,38,Male,UAE,Current,16203.46,714,2017-04-05
22,32,Female,Malaysia,Savings,40932.73,300,2020-12-08
23,71,Male,UAE,Current,2501.87,752,2023-09-18
24,28,Male,UAE,Current,43538.07,619,2020-11-30
25,26,Female,Yemen,Savings,30436.34,393,2019-03-17
26,65,Male,UAE,Current,26927.63,786,2025-11-11
27,33,Female,Malaysia,Savings,45953.17,485,2025-07-20
28,19,Male,Yemen,Current,2833.25,590,2018-03-02
29,49,Male,Yemen,Current,522.17,450,2018-04-16
30,71,Female,Malaysia,Savings,5770.99,313,2019-10-29
31,60,Female,Malaysia,Current,14009.4,522,2016-09-19
32,46,Male,Malaysia,Current,44094.97,386,2024-04-19
33,20,Male,Indonesia,Savings,35881.47,719,2017-08-22
34,19,Male,Yemen,Current,8036.56,549,2025-04-28
35,47,Female,Malaysia,Current,40101.5,550,2016-10-09
36,21,Male,Indonesia,Current,17804.16,577,2023-08-12
37,56,Female,Malaysia,Savings,40176.89,596,2021-10-17
38,21,Male,Malaysia,Current,4307.27,632,2025-01-18
39,46,Female,Indonesia,Savings,36620.8,403,2016-08-22
40,32,Male,Yemen,Current,35307.73,774,2017-09-16
41,73,Female,Indonesia,Current,5102.71,602,2024-08-25
42,25,Female,Malaysia,Savings,29515.92,379,2021-08-14
43,56,Male,Indonesia,Current,29712.55,687,2020-07-16
44,36,Male,Malaysia,Savings,27305.3,611,2016-08-27
45,37,Female,Malaysia,Savings,9084.81,461,2018-09-08
46,49,Male,UAE,Savings,47592.68,843,2016-07-17
47,37,Male,UAE,Current,15668.51,597,2016-05-22
48,33,Male,Malaysia,Current,31416.28,482,2019-12-28
49,47,Female,Malaysia,Current,10550.49,492,2022-08-04
50,25,Male,Yemen,Current,6312.68,343,2021-11-18
51,43,Female,Malaysia,Savings,32406.07,731,2021-07-03
52,45,Male,Malaysia,Savings,20719.75,438,2021-05-31
53,64,Female,Yemen,Current,36311.07,360,2025-11-17
54,46,Female,Malaysia,Savings,20407.67,691,2020-04-12
55,67,Male,Yemen,Savings,32684.68,510,2016-10-08
56,41,Female,Malaysia,Savings,13497.07,764,2018-10-22
57,26,Male,UAE,Current,17801.73,318,2022-07-17
58,23,Female,Malaysia,Current,42694.48,626,2019-10-03
59,41,Male,UAE,Savings,45339.81,384,2022-01-17
60,33,Female,UAE,Current,41562.42,367,2025-09-28
61,28,Male,Malaysia,Current,46486.56,672,2017-12-05
62,23,Female,UAE,Current,45454.18,592,2023-04-06
63,72,Female,Indonesia,Current,13572.82,416,2020-11-23
64,66,Female,UAE,Current,18673.15,347,2019-11-01
65,72,Female,Malaysia,Current,16724.33,792,2021-04-27
66,40,Female,UAE,Savings,47400.7,508,2023-12-14
67,41,Male,Malaysia,Current,28778.24,565,2025-09-03
68,40,Male,Yemen,Current,35903.72,586,2021-09-18
69,40,Female,Malaysia,Savings,35598.22,437,2023-01-14
70,33,Female,UAE,Current,45433.62,767,2020-12-13
71,73,Male,Malaysia,Savings,3336.4,627,2024-04-24
72,35,Female,Yemen,Current,3250.55,312,2020-02-19
73,56,Female,Malaysia,Savings,38125.0,554,2016-12-28
74,21,Female,UAE,Current,36043.71,809,2019-07-05
75,55,Female,Yemen,Current,30257.9,438,2021-03-26
76,24,Male,UAE,Savings,22048.61,513,2023-05-06
77,53,Female,Yemen,Savings,41953.62,453,2018-02-24
78,58,Female,Indonesia,Current,20452.61,782,2016-07-14
79,65,Female,Malaysia,Savings,13522.75,547,2020-08-11
80,66,Female,Indonesia,Current,49671.93,520,2025-11-23
81,57,Male,Yemen,Current,24187.93,589,2016-06-16
82,67,Female,UAE,Current,11336.32,744,2022-08-01
83,71,Male,Malaysia,Current,32104.31,819,2023-05-21
84,70,Male,Malaysia,Savings,38825.71,695,2020-08-16
85,54,Female,Malaysia,Savings,40084.6,459,2022-05-22
86,32,Female,Malaysia,Savings,21010.89,536,2025-06-06
87,31,Female,Yemen,Current,35481.94,823,2024-03-16
88,70,Female,Indonesia,Current,39671.06,634,2021-09-30
89,28,Male,Malaysia,Current,48460.33,372,2018-02-23
90,75,Female,Indonesia,Current,23563.2,341,2020-04-13
91,23,Male,Malaysia,Savings,23327.95,785,2020-03-21
92,75,Female,UAE,Current,40886.96,760,2017-12-21
93,61,Male,UAE,Current,35457.44,765,2019-02-10
94,55,Male,Malaysia,Current,2208.51,831,2016-01-29
95,61,Female,Indonesia,Savings,4428.62,845,2022-04-07
96,48,Male,UAE,Savings,39146.76,813,2025-07-10
97,33,Female,Indonesia,Savings,25048.12,471,2018-07-29
98,32,Male,Indonesia,Current,15861.41,460,2022-01-24
99,35,Male,Yemen,Current,21874.45,834,2019-05-28
100,36,Male,UAE,Savings,44110.06,669,2021-12-26
101,67,Male,UAE,Current,46428.93,396,2024-06-16
102,32,Female,Indonesia,Current,14762.56,581,2024-12-07
103,48,Female,Malaysia,Savings,11850.67,596,2023-06-07
104,44,Female,Malaysia,Savings,46264.17,711,2021-03-07
105,65,Male,Malaysia,Current,35643.76,414,2019-06-14
106,58,Male,Yemen,Savings,3228.99,635,2020-09-01
107,52,Male,Yemen,Savings,17418.66,605,2017-12-17
108,71,Male,UAE,Current,12668.52,411,2022-01-06
109,33,Male,UAE,Current,38071.19,483,2024-05-30
110,34,Male,Indonesia,Current,37505.88,721,2020-11-05
111,43,Female,Indonesia,Current,48619.53,402,2020-02-10
112,20,Female,UAE,Savings,12454.5,555,2019-03-03
113,60,Male,Yemen,Current,34935.12,587,2019-10-16
114,68,Female,UAE,Savings,48770.86,750,2019-08-17
115,27,Male,Indonesia,Savings,17204.78,546,2018-05-12
116,51,Male,Malaysia,Savings,30224.78,392,2024-02-21
117,52,Male,UAE,Savings,26491.67,323,2017-12-27
118,32,Male,Indonesia,Current,48358.31,409,2016-02-24
119,69,Female,UAE,Savings,18774.1,654,2022-01-17
120,69,Female,UAE,Savings,14306.28,329,2016-05-25
121,51,Female,Malaysia,Savings,37499.7,669,2016-04-20
122,56,Female,Malaysia,Savings,49144.78,455,2019-01-29
123,51,Male,Indonesia,Current,37393.82,508,2023-12-04
124,20,Male,Yemen,Savings,8939.02,563,2025-06-17
125,38,Male,Yemen,Savings,7748.12,420,2016-06-03
126,66,Female,Indonesia,Savings,43458.58,577,2018-01-15
127,64,Female,UAE,Savings,33617.5,738,2022-01-22
128,54,Male,Indonesia,Savings,48136.42,779,2020-11-24
129,30,Female,Malaysia,Savings,47633.1,634,2021-07-18
130,44,Male,Yemen,Current,21224.87,703,2019-02-01
131,32,Male,Malaysia,Current,14114.64,511,2019-01-28
132,30,Female,Indonesia,Savings,4194.97,536,2025-09-03
133,67,Male,Yemen,Current,34111.63,653,2019-02-15
134,44,Male,Indonesia,Current,31146.11,819,2018-09-30
135,55,Female,Yemen,Current,42802.68,615,2018-10-26
136,31,Male,UAE,Savings,21066.72,844,2016-07-19
137,51,Female,UAE,Current,36524.53,629,2025-02-09
138,44,Male,Malaysia,Savings,45624.88,321,2019-11-30
139,57,Male,Indonesia,Current,20915.96,617,2024-03-17
140,63,Female,Yemen,Savings,21035.14,311,2020-01-10
141,36,Female,Yemen,Current,39881.53,590,2019-09-16
142,67,Male,Indonesia,Savings,16153.41,633,2023-04-27
143,22,Male,Indonesia,Current,35348.56,678,2016-05-11
144,29,Male,Indonesia,Savings,2407.68,819,2017-10-08
145,20,Female,Indonesia,Savings,37093.78,311,2019-11-03
146,34,Male,Indonesia,Current,9249.21,677,2019-03-01
